Level,State,Notes,"I am feeling..."
600,Peace,,"still, serene, silent, whole, boundless, complete, at one"
540,Joy,,"joyful, radiant, grateful, delighted, blissful, lighthearted, appreciative"
500,Love,,"loving, warm, openhearted, compassionate, tender, kind, devoted"
400,Reason,,"clear, curious, insightful, fascinated, understanding, sharp"
330-390,Flow,Dodson addition,"inspired, absorbed, creative, energized, alive, in the zone, unstoppable"
350,Acceptance,,"accepting, forgiving, gracious, responsible, unshaken, at peace with it"
310,Willingness,,"optimistic, hopeful, eager, open, keen, motivated, up for it"
275,Relaxation,Dodson addition,"relaxed, at ease, unwound, restful, calm, soft"
250,Contentment,,"content, fine, okay, settled, easygoing, unbothered"
225,Boredom,Dodson addition,"bored, flat, idle, unstimulated, restless (mild), meh"
200,Courage,THE THRESHOLD,"brave, determined, resolved, ready, scared but willing, facing it"
180-190,Discontent,Dodson addition,"dissatisfied, grumbly, fed up, cynical, burnt out, complaining, restless (edgy)"
175,Pride,,"superior, smug, defensive, self-righteous, dismissive, judgmental, better than"
150,Anger,,"angry, frustrated, irritated, resentful, bitter, impatient, outraged, annoyed"
125,Craving,,"needy, longing, craving, envious, jealous, obsessed, grasping, never enough"
100,Fear,,"afraid, anxious, worried, nervous, tense, insecure, panicked, dreading"
75,Grief,,"sad, heartbroken, sorrowful, tearful, aching, mournful, wistful"
50,Apathy,,"numb, flat, indifferent, listless, stuck, hopeless, what's the point"
30,Guilt,,"guilty, remorseful, regretful, sorry, undeserving, blameworthy"
0-20,Shame,,"ashamed, worthless, humiliated, exposed, small, hollow, invisible"
